,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,3.804920797,1.106446267,0.411914465,0.255369318,0.341752983,0.753210041,1.209048757,1.041995974,0.495582865,0.31045937,0.307054389,0.272210537,0.18633754,0.128045201,0.087802288,0.053864072,10.76601486
infected_2,1.062023962,5.032563117,1.010820991,0.272993555,0.163727722,0.415103697,0.920715829,1.138430107,0.845180762,0.331404439,0.207308272,0.185438067,0.176914721,0.111648992,0.058259853,0.053110711,11.9856448
infected_3,0.238322817,1.538439028,6.985963188,0.8459108,0.287055284,0.244382698,0.403253278,0.826924953,1.080685639,0.570476715,0.265753319,0.146613511,0.101529284,0.088170519,0.069709958,0.069666829,13.76285782
infected_4,0.124291605,0.308466406,2.301337758,7.831673097,1.359952626,0.651197343,0.530922456,0.762132093,1.024838432,1.048974301,0.478502108,0.163900922,0.071731575,0.052826051,0.034537059,0.026138841,16.77142267
infected_5,0.199749427,0.168212184,0.255546191,2.16548016,3.93379041,1.707640669,1.167774403,1.133141134,0.970045214,1.270265248,0.813399884,0.327206094,0.083827755,0.045765096,0.054472907,0.052372833,14.34868961
infected_6,0.533186655,0.248630046,0.143586994,0.730959496,1.94362591,3.458108223,1.776904783,1.470782598,1.262626736,0.996978427,0.961087698,0.357462674,0.112533971,0.051652481,0.030576614,0.023610161,14.10231347
infected_7,0.722245863,0.848097293,0.52990384,0.42280649,1.005007649,1.72044721,2.91929925,1.893779389,1.457482167,1.135173098,0.810056749,0.405392032,0.184108119,0.085415831,0.047009458,0.052539035,14.23876347
infected_8,0.703795388,1.072144114,0.836634237,0.683277144,0.764697277,1.407198491,1.759799947,3.210826299,2.097797704,1.34435542,0.919501578,0.364109627,0.259690589,0.152400044,0.098057988,0.046374757,15.7206606
infected_9,0.309533229,0.656644198,0.982752443,1.109366761,0.92350309,1.251892323,1.591437083,1.876617068,2.954112985,1.681832159,1.112890149,0.273215002,0.183535577,0.110848093,0.086973879,0.048012006,15.15316604
infected_10,0.405809432,0.467179315,0.611763244,1.536722922,0.945405195,0.993898449,1.259240535,1.465493022,1.573157881,2.196473839,1.086304199,0.340684672,0.151299421,0.086366811,0.083109385,0.081878734,13.28478706
infected_11,0.251717816,0.59477766,0.828877238,1.201673259,1.018812832,1.290606766,1.179256073,1.214539999,1.594238122,1.74306349,1.918450067,0.649166877,0.267267288,0.118505853,0.088063041,0.090260678,14.04927706
infected_12,0.542435888,0.671189895,0.573670801,0.749297809,0.613562605,0.931751472,0.917537196,0.747909882,0.792770368,0.680870271,0.922915526,1.461921795,0.512948634,0.218259493,0.119945819,0.094677851,10.5516653
infected_13,0.396129437,0.362908381,0.256617921,0.361414954,0.338778892,0.508046966,0.639384829,0.69404363,0.523440037,0.416276893,0.441451988,0.6750623,1.405972838,0.426491388,0.262976562,0.128553935,7.837550952
infected_14,0.19801891,0.31343751,0.256870771,0.157485115,0.212127939,0.307135117,0.450107776,0.454315782,0.425370945,0.302315209,0.32427788,0.440418483,0.518037051,1.003043479,0.275906415,0.138982849,5.777851229
infected_15,0.105249466,0.294489078,0.307793154,0.355341172,0.155891351,0.244503216,0.253090187,0.477051756,0.514982248,0.434000937,0.339218615,0.338153271,0.659977229,0.619206935,0.974076441,0.325764269,6.398789324
infected_16,0.243558386,0.317121995,0.452225623,0.359881296,0.154299867,0.188222871,0.305082134,0.382425859,0.451445037,0.442871608,0.538802323,0.344081344,0.27980028,0.367154072,0.367545495,0.642918151,5.837436339
