,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,2.285792551,0.669747621,0.291186325,0.440365614,0.487530356,0.502593646,1.008112542,0.756946923,0.413593641,0.294086841,0.278793928,0.16682489,0.099128483,0.081987973,0.161740222,0.074983587,8.013415141
infected_2,0.377806654,1.719495498,0.509867925,0.294016762,0.093484615,0.294477481,0.530442974,0.54978089,0.577529941,0.242117424,0.144753203,0.098394942,0.141954363,0.118741534,0.047585368,0.034516145,5.774965718
infected_3,0.040461769,0.386200661,2.430952851,0.576225636,0.115225715,0.085533667,0.195002187,0.498955843,0.831066866,0.304802245,0.205478654,0.070804054,0.060946301,0.080950438,0.055945331,0.019500164,5.958052383
infected_4,0.035038848,0.13413716,1.339370101,4.306941819,1.342206777,0.325869682,0.206561165,0.624980586,0.751610966,0.523004948,0.395909534,0.174347435,0.054823838,0.046872187,0.034265943,0.020525526,10.31646651
infected_5,0.067562256,0.032131732,0.116968286,1.455620897,2.895921739,0.89498249,0.521889759,0.599012032,0.562658105,0.731736831,0.403622498,0.238461622,0.051415006,0.029937921,0.038514915,0.03592243,8.676358519
infected_6,0.263273671,0.116498764,0.088771012,0.249744719,1.341417622,1.750549706,1.016578933,0.737871332,0.518716583,0.842596369,0.554106026,0.362437614,0.089125336,0.052022146,0.018448237,0.018125159,8.020283229
infected_7,0.467902218,0.298890502,0.111532901,0.142751141,0.564883332,1.20556327,2.01149088,1.506679214,1.42390603,0.503042768,0.741154185,0.243595055,0.192443717,0.100817613,0.038267592,0.002643328,9.555563745
infected_8,0.191928513,0.458839533,0.658342744,0.800704831,0.346658932,0.39766674,0.745428462,1.920193326,1.29703483,0.667343647,0.503303475,0.341980537,0.140055241,0.14363137,0.065292223,0.015837539,8.69424194
infected_9,0.086509143,0.320857377,0.841457573,1.617101692,0.76861062,0.432961989,0.425452978,1.001585837,1.576407146,1.193468472,0.520829905,0.149651959,0.208363233,0.108511218,0.069811137,0.043243346,9.364823626
infected_10,0.048410686,0.043182791,0.468392512,2.037220415,0.535266331,0.57201054,0.663585479,0.98540331,1.172031725,1.412582498,0.670530012,0.271081246,0.11510364,0.097293189,0.105209068,0.019775006,9.217078449
infected_11,0.24813362,0.309108372,0.177552758,0.933870717,0.686653425,0.727430393,0.538546484,0.613369506,1.04305676,1.335461221,1.462396784,0.729316269,0.177505824,0.098611281,0.030572571,0.045092095,9.156678078
infected_12,2.50459E-15,0.030451271,0.033491961,0.153306668,0.249465383,0.4444248,0.512086482,0.413645915,0.632566817,0.642205948,0.716713178,1.002150455,0.369350625,0.186713532,0.092560461,0.041384896,5.520518391
infected_13,0.063262829,0.188029992,0.000761143,0.113630006,0.132960011,0.291001529,0.230250176,0.314970225,0.286488735,0.311787511,0.258204231,0.51297851,0.848123364,0.313293549,0.058057989,0.02407367,3.947873471
infected_14,0.010301917,0.054090807,0.050173624,0.039110993,0.064481581,0.097612436,0.191708765,0.200315765,0.405085414,0.1350323,0.216475223,0.246611865,0.457569386,0.909792678,0.264251594,0.025483412,3.36809776
infected_15,3.55004E-17,0.04190472,0.015369965,0.160985272,0.0431341,0.161289576,0.277586483,0.557133091,0.2212207,0.373130127,0.181371218,0.250869394,0.572818683,0.714299634,1.100498869,0.205476341,4.877088174
infected_16,0.108252936,0.123401051,0.021354887,0.014289167,0.029745631,0.103540926,0.325221593,0.159759103,0.199146052,0.135270636,0.346670657,0.135795118,0.161719105,0.186966167,0.160377017,0.289899716,2.501409763
