,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.441298209,0.342797514,0.107625147,0.094557669,0.262981537,0.274822318,0.605972461,0.45588805,0.224152495,0.064846886,0.058404839,0,0.028073771,0.010474916,0.009680842,0.002896204,2.984472858
infected_2,0.072719675,0.445168301,0.310223629,0.163259522,0.038614078,0.182485265,0.394252913,0.394504398,0.414942824,0.121563683,0.097053639,0.026229999,0.004149868,0.008645196,0.005633539,0.000739748,2.680186277
infected_3,0.024200763,0.167163655,0.600622837,0.385624147,0.026716471,0.040442123,0.074206113,0.275135207,0.656653317,0.210306484,0.109515598,0.017647231,0,0.021595657,0.009592576,0.003496345,2.622918524
infected_4,0.014732847,0.07269281,0.170452937,0.510944116,0.170179048,0.025851998,0.014942705,0.274857218,0.431561246,0.281430238,0.119269303,0.047232204,0.020526746,0.00809119,0.005162315,0.000350897,2.168277818
infected_5,0.067557503,0.027166533,0.037792869,0.165803149,0.965391667,0.218378876,0.047311604,0.017848038,0.168551046,0.299557621,0.187684252,0.060208736,0.016978435,0.002001376,0.001244037,0.007090623,2.290566365
infected_6,0.231391106,0.083166159,0.026908617,0.065201828,0.223836663,0.414978861,0.1171398,0.021676513,0.008421773,0.143471537,0.187093618,0.086809179,0.024149764,0.010488814,0.000961553,0.011019727,1.656715512
infected_7,0.345236049,0.230249512,0.063828075,0.003301823,0.024949507,0.129711963,0.458173659,0.202437134,0.050686702,0.000978263,0.089699058,0.031085924,0.04574886,0.012340773,0.009465061,0.002643328,1.700535691
infected_8,0.143980498,0.188816483,0.232656307,0.238770917,0.019513102,0.015242926,0.157152485,0.677110566,0.185830343,0.01577774,0.011381188,0.006006825,0.020961466,0.018106297,0.014287342,0.001679248,1.947273733
infected_9,0.079813855,0.269828097,0.40863651,0.444662693,0.099933242,0.005584289,0.023002066,0.086946027,0.681608674,0.142878658,0.036341672,0.000849265,0.011694501,0.030139415,0.00236336,6.08E-24,2.324282324
infected_10,0.024084132,0.027448967,0.126112396,0.411053675,0.269426321,0.052679398,0.006792082,0.024235309,0.122348289,0.414727115,0.164024746,0.015679868,0.010973501,0.004792092,0.002169992,0.004748295,1.681296178
infected_11,0.022713281,0.052292496,0.114914165,0.166810325,0.205644365,0.134825926,0.061665933,0.024199919,0.096866742,0.156099768,0.502898868,0.105133534,0.013143567,0.007055674,0,0.003258206,1.667522769
infected_12,0,0.011033451,0.009932547,0.041851005,0.101658235,0.131470336,0.050881462,0.023316351,0.002442553,0.04517607,0.151427284,0.474224827,0.142606531,0.036212679,0.000635489,0.001474677,1.224343497
infected_13,0.004179865,0.00506382,0,0.047427905,0.047184262,0.044284358,0.070874126,0.083288324,0.0320648,0.034498072,0.048873666,0.204914177,0.542117922,0.165890632,1.94E-12,0.004050243,1.334712172
infected_14,0.004011337,0.013365331,0.043665536,0.0097919,0.011520958,0.022075517,0.034674079,0.11252811,0.154830066,0.04774209,0.013223502,0.031864867,0.125691559,0.612880034,0.11889934,0.007598219,1.364362445
infected_15,8.05E-73,0.04190472,3.16E-26,0.035237809,1.12E-31,0.008067473,0.095882794,0.209258561,0.042421856,0.081239713,0,0.013834313,0.029574981,0.284937334,0.527195551,0.078982779,1.448537884
infected_16,0.029185407,0.043403315,0.021354887,0.014289167,1.11E-21,0.021981672,0.088575463,0.028423544,0.11821243,9.92E-22,0.213657745,0.057567855,0.028999218,0.186966167,0.028425162,0.259683632,1.140725664
