,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.688060587,0.477680362,0.199420164,0.080461986,0.134592088,0.379075398,0.702364688,0.571826992,0.198564546,0.066210996,0.052675672,0.036808945,0.022390229,0.006494303,0.002993046,0.00521951,3.624839512
infected_2,0.325931872,1.009633954,0.385943905,0.126837578,0.037584659,0.145180962,0.573297142,0.714297626,0.468638472,0.129077697,0.037170328,0.022007454,0.011999333,0.006391658,0.002602712,0.003312033,3.999907385
infected_3,0.128181133,0.369161263,1.588507466,0.421810846,0.059927624,0.026051216,0.12674827,0.457233231,0.637619645,0.272502343,0.063978697,0.014102148,0.008759085,0.008300099,0.006661294,0.003335359,4.192879719
infected_4,0.047173063,0.096142209,0.392455487,1.254115213,0.20609308,0.03245718,0.017090677,0.168148986,0.401699129,0.495991383,0.189243533,0.042054836,0.009505603,0.007754216,0.004990032,0.002220555,3.367135182
infected_5,0.096404758,0.047508211,0.072078566,0.39033052,1.191402116,0.197241893,0.040269561,0.018589924,0.117882495,0.487592593,0.271308105,0.11232634,0.014586641,0.002321774,0.002400119,0.002528928,3.064772544
infected_6,0.366725662,0.096786611,0.025564369,0.055107825,0.207188836,1.014665771,0.195743059,0.02881858,0.013956096,0.051589729,0.209116618,0.098403007,0.037097294,0.007793004,0.000856045,0.004342089,2.413754595
infected_7,0.51992795,0.475618511,0.163414315,0.023519485,0.046656513,0.190639682,0.932505578,0.199321909,0.053371099,0.015523748,0.030213492,0.051241135,0.050143265,0.007600852,0.003312911,0.003023596,2.766034041
infected_8,0.447115031,0.711948111,0.552991698,0.193905635,0.023156928,0.030993799,0.163765972,1.042591089,0.164946862,0.038140071,0.019007905,0.014456039,0.027544879,0.012462104,0.00689151,0.002375449,3.452293082
infected_9,0.169284893,0.41168004,0.661423969,0.441584147,0.088938249,0.022194097,0.059487528,0.159125325,0.867284832,0.144630558,0.028335549,0.004298919,0.015837885,0.014717955,0.005351163,0.005974829,3.100149938
infected_10,0.082510167,0.180596237,0.361976196,0.618390689,0.361229601,0.051806663,0.021510453,0.064652011,0.144426592,0.796166672,0.124661677,0.023300309,0.007601248,0.007219584,0.005595677,0.008885588,2.860529364
infected_11,0.125564042,0.103706129,0.201282171,0.338546311,0.39006831,0.230417129,0.065328995,0.03364184,0.060286819,0.166583251,0.747469716,0.132954385,0.021398031,0.005770127,0.004744805,0.021755094,2.649517155
infected_12,0.233811319,0.217834131,0.146831692,0.233025964,0.270982777,0.290320743,0.2134325,0.060539247,0.027171415,0.107779105,0.221375937,0.866687667,0.125525236,0.034265207,0.004820725,0.018190089,3.072593754
infected_13,0.261256717,0.233839803,0.163821059,0.135336211,0.107687663,0.169805897,0.26142663,0.158203936,0.07537814,0.033413486,0.086644353,0.193533392,0.90857525,0.109922865,0.022561107,0.005500045,2.926906554
infected_14,0.139879237,0.214594537,0.200491074,0.107826896,0.065775413,0.082188612,0.144264815,0.149012663,0.127642912,0.055598262,0.047119089,0.079538522,0.126782105,0.691952303,0.090215947,0.011953949,2.334836336
infected_15,0.081573338,0.242322382,0.234411929,0.213315115,0.031553769,0.06530683,0.060626082,0.164654499,0.141831746,0.13055316,0.062974315,0.03698191,0.115141423,0.185317083,0.526009905,0.108658991,2.401232477
infected_16,0.199006076,0.248851264,0.384293387,0.30176095,0.073837832,0.074449329,0.094918722,0.190460562,0.264034209,0.204618294,0.357400685,0.14065365,0.055148815,0.103624533,0.110187565,0.42996978,3.233215653
