,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,2.127129532,1.145489869,0.623218827,0.396909065,0.740345038,1.218505732,1.327101798,1.019801655,0.541003674,0.285269591,0.308741211,0.241247923,0.141754682,0.094611764,0.053206188,0.03623658,10.30057313
infected_2,0.975071238,7.759841276,1.494006859,0.465393182,0.345000688,0.873944314,1.149462989,1.099913398,0.833639169,0.339192407,0.213333849,0.181309011,0.125663324,0.079867716,0.037059038,0.030146818,16.00284528
infected_3,0.408664205,2.411250825,9.415047931,1.182550287,0.576493541,0.5600708,0.684157192,0.897649894,0.954128632,0.505666682,0.25406334,0.124652064,0.070488076,0.065601404,0.046868817,0.036804128,18.19415782
infected_4,0.251502006,0.62309071,3.882981877,13.57150959,2.143249021,1.081330955,0.683754451,0.859194002,0.95417229,0.83273256,0.414052369,0.162115227,0.075596836,0.048120674,0.026154668,0.01942274,25.62897997
infected_5,0.538715172,0.437613677,0.56616357,4.249157814,7.097740084,2.911977488,1.474551379,0.959319535,0.819518523,0.995799145,0.631547519,0.336150742,0.105449212,0.04527461,0.04555517,0.039034976,21.25356862
infected_6,1.164151174,0.668653232,0.341805346,1.27988697,3.516875494,5.037569793,2.286127759,1.315513737,0.908778972,0.741786282,0.714437554,0.38988089,0.162394901,0.060925119,0.026133797,0.024040158,18.63896118
infected_7,1.078554735,1.51664056,1.066163515,0.640896384,1.32884541,2.231951169,2.8631843,1.616718577,0.995239405,0.624725173,0.524458304,0.378103822,0.194431275,0.072065362,0.037045406,0.032398562,15.20142196
infected_8,0.838008178,1.387066976,1.144547416,0.70660838,0.72402012,1.318088544,1.543490496,2.100316529,1.234530876,0.642893962,0.41192602,0.254923897,0.175135107,0.104065754,0.054982381,0.021734905,12.66233954
infected_9,0.507794972,0.944828689,1.150296576,1.186849488,0.791054378,0.934405671,1.129292357,1.157634978,1.528578496,0.753546841,0.455341178,0.16917666,0.126990921,0.07793731,0.046160276,0.023297598,10.98318639
infected_10,0.285293346,0.636893055,0.729239989,1.320125701,0.70343715,0.686836832,0.712713693,0.73962936,0.727498957,0.873106306,0.460749776,0.189551695,0.081971051,0.04187257,0.035800385,0.037564106,8.262283972
infected_11,0.331166603,0.626851299,0.833934261,1.032785809,0.835142342,0.956455355,0.699055741,0.569612433,0.673335766,0.674995523,0.690854782,0.345304497,0.120515316,0.046294311,0.034629378,0.037623706,8.508557124
infected_12,0.531705449,0.725385198,0.5582886,0.686943049,0.578748691,0.905162286,0.811654416,0.529414416,0.491702921,0.39724327,0.471947977,0.530543884,0.21401943,0.086307956,0.035296653,0.030567476,7.584931672
infected_13,0.431160574,0.448769978,0.30466279,0.393334687,0.333483926,0.487030182,0.519529666,0.502863551,0.337076719,0.240047716,0.23103714,0.269695773,0.300757724,0.13416495,0.054356311,0.021187365,5.009159052
infected_14,0.264025338,0.415627524,0.344100615,0.18297614,0.225954635,0.30649316,0.405190215,0.39294299,0.312368917,0.152424466,0.149196305,0.176442423,0.162770961,0.255995829,0.081918031,0.027841532,3.856269081
infected_15,0.130256614,0.377655957,0.352376312,0.315028951,0.133562527,0.238915025,0.206898074,0.342488416,0.340082212,0.25431963,0.193340168,0.135776518,0.167073977,0.155882898,0.205563595,0.092584806,3.64180568
infected_16,0.233276102,0.323181315,0.475812128,0.398868834,0.1371081,0.154221367,0.208833889,0.293645325,0.300209282,0.288732989,0.276775047,0.13848219,0.078425185,0.119088537,0.09151421,0.125744759,3.64391926
