,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.547397018,0.586084117,0.354306509,0.1684063,0.278023152,0.475772593,0.577561963,0.496566203,0.228471311,0.09128448,0.094931689,0.079455798,0.053714254,0.023115555,0.008443323,0.013867222,4.077401487
infected_2,0.358940154,0.769916714,0.518816044,0.203454437,0.07204738,0.26828218,0.505780946,0.538855598,0.3949647,0.148299127,0.07018641,0.071008976,0.04292691,0.022845359,0.010083674,0.009255783,4.005664392
infected_3,0.229258219,0.544626729,1.223881085,0.436097154,0.093296925,0.080260368,0.206610564,0.419798415,0.461243587,0.234133881,0.086821119,0.035828587,0.022624873,0.022026875,0.016144696,0.008535979,4.121189056
infected_4,0.13722365,0.239896778,0.556936743,1.075283545,0.26723067,0.096826761,0.060338037,0.242909835,0.396158906,0.405826391,0.218540049,0.069582884,0.031981825,0.019218317,0.009389649,0.007598097,3.834942137
infected_5,0.337063664,0.17333832,0.195751674,0.626048933,1.20383002,0.436597218,0.108097758,0.053002017,0.19011226,0.439383887,0.293728664,0.145331944,0.037345813,0.011262801,0.009174363,0.008737469,4.268806805
infected_6,0.809901341,0.338330748,0.126376445,0.207229467,0.476586068,1.122655053,0.347798207,0.076333565,0.042297568,0.135297957,0.257165973,0.159883256,0.080530471,0.024713882,0.004338315,0.011330233,4.220768549
infected_7,0.765767203,0.860016378,0.473294843,0.100450222,0.139808411,0.359801076,0.80917349,0.291703958,0.105222918,0.041744328,0.072025969,0.098526779,0.087632898,0.020461586,0.011030966,0.006711851,4.243372876
infected_8,0.594280593,0.914861631,0.800427699,0.329955469,0.063311585,0.07770094,0.211925811,0.685572001,0.186104078,0.057224678,0.038774081,0.037109359,0.057785047,0.037030455,0.016318662,0.005473564,4.113855653
infected_9,0.365652281,0.664308354,0.798846685,0.549536178,0.15982904,0.062832956,0.116972053,0.202969425,0.498297174,0.155723138,0.054795262,0.014948753,0.037551436,0.038147036,0.015942303,0.009730857,3.746082931
infected_10,0.185732446,0.375006593,0.52180053,0.597823834,0.323429273,0.118470902,0.048063881,0.103737009,0.148752632,0.391719987,0.130277379,0.03507546,0.019541712,0.014144135,0.012316721,0.018296369,3.044188863
infected_11,0.262271721,0.239737387,0.374043728,0.401606312,0.345532301,0.233865562,0.116677285,0.058912686,0.092644951,0.146594735,0.320758539,0.119060526,0.031013598,0.011676434,0.011575723,0.021105338,2.787076826
infected_12,0.406692148,0.427706744,0.278590242,0.328232789,0.268488653,0.31631765,0.257651022,0.099845522,0.055782207,0.119009896,0.165448329,0.285572401,0.103961495,0.042304388,0.009878188,0.015585575,3.181067249
infected_13,0.358618179,0.360945986,0.236281366,0.207730008,0.134061988,0.179588815,0.221869842,0.17658611,0.086705557,0.048504035,0.078490449,0.12042462,0.195906122,0.070157075,0.016784187,0.004420569,2.497074908
infected_14,0.229326348,0.34777156,0.308105329,0.151696337,0.112049236,0.123882188,0.198024829,0.246219114,0.186742725,0.063733136,0.062722922,0.078960965,0.088235054,0.183001968,0.04101984,0.008965168,2.430456719
infected_15,0.117761791,0.352540812,0.316618703,0.231157427,0.046826031,0.108268385,0.09230874,0.205611119,0.197004459,0.147663935,0.091468019,0.054055195,0.075392413,0.075267585,0.130045581,0.044990216,2.286980411
infected_16,0.212788579,0.282292917,0.446968935,0.35940793,0.088183525,0.079161917,0.099793722,0.222661918,0.239746109,0.225849155,0.233047,0.100297048,0.047838541,0.079940602,0.057077445,0.100915778,2.875971121
