,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,1.323032483,0.563695539,0.291801003,0.175606908,0.244706407,0.442307952,0.742980082,0.752345671,0.489539674,0.228863087,0.252979757,0.191158158,0.119824712,0.096381987,0.060671974,0.03533703,6.011232423
infected_2,0.459087313,4.543003865,0.87730782,0.238427739,0.141282738,0.34211912,0.639644982,0.782649779,0.806303765,0.326461007,0.211529374,0.156321273,0.112607995,0.082912876,0.041311539,0.033667294,9.794638477
infected_3,0.228132509,1.714916088,9.38216924,0.912179193,0.302667514,0.282781999,0.462413603,0.792960489,1.138708452,0.6245159,0.374398564,0.166009271,0.084207671,0.084680515,0.071153632,0.058166342,16.68006098
infected_4,0.122369355,0.344540482,3.397066086,12.46825654,1.3632886,0.669843586,0.569259617,0.790472315,1.089514831,1.144065657,0.651243911,0.233557552,0.089081777,0.05838955,0.036845045,0.028763318,23.05655822
infected_5,0.171086805,0.179695252,0.273864444,2.324378704,3.908624412,1.617934723,1.123825379,1.005334797,0.911625631,1.172575782,0.868334441,0.455515842,0.145407157,0.048410156,0.056457541,0.045929334,14.3090004
infected_6,0.426889536,0.270873593,0.161789613,0.781328085,1.895990238,3.324036071,1.754614789,1.340951612,1.167691579,0.998144969,1.041875862,0.615780759,0.24049833,0.067421824,0.033626063,0.030056265,14.15156919
infected_7,0.701105133,0.93360886,0.682919034,0.500977004,0.99028613,1.705332972,3.148143147,1.909485058,1.455678766,1.085869763,0.915437664,0.661406484,0.335853655,0.120455303,0.063928163,0.055932537,15.26641967
infected_8,0.714015089,1.110951358,0.905034867,0.646518413,0.703773563,1.302116358,1.790725493,3.190067467,2.120129177,1.298776313,0.94286477,0.526217938,0.315224977,0.184365186,0.10772531,0.042472412,15.90097869
infected_9,0.418023791,0.910992889,1.156993743,1.283807753,0.896998028,1.173506076,1.627087428,1.934664924,3.131828185,1.678093894,1.189491742,0.451159665,0.26791221,0.144104167,0.105620374,0.050996734,16.42128161
infected_10,0.217780885,0.596223133,0.760983629,1.783908662,0.915282949,0.956550354,1.216522995,1.428768254,1.604192517,2.274281152,1.222640292,0.54558718,0.209968945,0.097026238,0.092899379,0.093471939,14.0160885
infected_11,0.247557379,0.700464515,1.176975721,1.633670358,1.16681061,1.375646712,1.261644419,1.262896606,1.735266044,1.905366945,2.246479721,0.984654611,0.340694651,0.13770199,0.103826278,0.109458029,16.38911459
infected_12,0.388315869,0.704064096,0.688251001,0.957080097,0.754611692,1.247869259,1.359081001,1.066596948,1.248812147,1.042658641,1.308241651,1.643023218,0.526079946,0.215498774,0.108831391,0.088713402,13.34772913
infected_13,0.32964211,0.343292055,0.254403866,0.454260228,0.407490281,0.649905016,0.856861766,0.895459485,0.763679944,0.646419114,0.609604964,0.710306696,0.924386969,0.321478091,0.183952007,0.073720077,8.42486267
infected_14,0.223830014,0.354043899,0.292672731,0.17450158,0.231603202,0.339895266,0.597076432,0.582403026,0.547816156,0.327042967,0.369048642,0.432672019,0.406193952,0.812450985,0.217905659,0.09222087,6.0013774
infected_15,0.11273425,0.319165081,0.345205772,0.344678995,0.164720101,0.281252428,0.327436921,0.532753949,0.662712003,0.481457564,0.402211638,0.316662915,0.487416061,0.482399751,0.767796086,0.22881291,6.257416427
infected_16,0.201572188,0.262510171,0.391588134,0.328745395,0.131147544,0.156866428,0.281355327,0.339412717,0.39340181,0.46253003,0.456537279,0.267138596,0.176462658,0.23978787,0.224021852,0.369967523,4.683045521
