,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.607680088,0.345658663,0.169744386,0.071595398,0.086764298,0.177994061,0.360714687,0.424406456,0.252419238,0.058204427,0.040111061,0.027091488,0.026473403,0.012775804,0.00411167,0.010614008,2.676359136
infected_2,0.214699904,0.806523708,0.32294517,0.10429544,0.039783232,0.109905234,0.292669798,0.404970116,0.441495368,0.136550787,0.044807065,0.031454518,0.016340023,0.010516574,0.004478169,0.008631295,2.990066401
infected_3,0.149390552,0.473392148,1.485427799,0.363601434,0.073485958,0.043269118,0.127605675,0.372215137,0.603962715,0.277185975,0.125637017,0.032390063,0.012121869,0.013446257,0.016860769,0.01457124,4.184563726
infected_4,0.071167083,0.149101545,0.42647442,1.342791726,0.24719448,0.059475528,0.035710912,0.167893664,0.402755116,0.533798076,0.321811078,0.072949033,0.017919749,0.011452632,0.007367761,0.010577486,3.878440289
infected_5,0.098977319,0.082824657,0.096885261,0.407127724,1.236819869,0.223565321,0.051475745,0.019477367,0.117982481,0.424792968,0.328792356,0.16160447,0.032666839,0.006164481,0.007444444,0.01018096,3.306782262
infected_6,0.303046918,0.134316376,0.049283714,0.103811424,0.280746731,1.057354624,0.223711325,0.028568232,0.020482641,0.116506794,0.28840698,0.236292322,0.100068593,0.022280858,0.004171871,0.015189786,2.984239189
infected_7,0.542929748,0.542059562,0.233301096,0.049030979,0.073583452,0.23386564,1.096590742,0.243966264,0.08285029,0.020877047,0.049873307,0.117819568,0.133232376,0.027565973,0.013240073,0.012156281,3.472942398
infected_8,0.557254814,0.778766147,0.587904477,0.205557387,0.028405113,0.033742176,0.176429847,1.066299501,0.213211689,0.043749711,0.022723297,0.018777822,0.057722888,0.035005736,0.013373903,0.0077663,3.846690808
infected_9,0.309822175,0.666438819,0.770938785,0.47204492,0.110396481,0.032427159,0.084429069,0.209947737,0.962472779,0.165439748,0.051644326,0.010560373,0.027973129,0.033529942,0.014413725,0.015194708,3.937673875
infected_10,0.122668821,0.302201474,0.469600724,0.673161429,0.370746998,0.095633528,0.02929383,0.08302228,0.17486434,0.888499053,0.180429348,0.043379146,0.015783413,0.010208977,0.010545369,0.034366161,3.504404891
infected_11,0.178882077,0.179467311,0.370753586,0.506464651,0.486992489,0.269698775,0.097409913,0.045828242,0.108683325,0.232699544,0.91200379,0.17789488,0.029900004,0.008720434,0.011168965,0.051393228,3.667961214
infected_12,0.262302996,0.28266465,0.202261891,0.28565407,0.302205377,0.390580183,0.28524755,0.068570885,0.045995239,0.150233388,0.226773981,0.798893097,0.148082315,0.048357402,0.00708578,0.036989612,3.541898416
infected_13,0.254860085,0.22916939,0.152505614,0.137807891,0.122270488,0.192326782,0.295926243,0.178174108,0.076907491,0.042449381,0.070780028,0.174314551,0.587732231,0.098590238,0.022914283,0.010895005,2.647623809
infected_14,0.183477447,0.268227439,0.235785782,0.123534994,0.089622208,0.110239755,0.231338739,0.256397992,0.204820694,0.055794729,0.051705629,0.100698377,0.13310538,0.550428365,0.065996861,0.014143895,2.675318286
infected_15,0.096945477,0.284753002,0.282015716,0.202941721,0.047714156,0.103688581,0.104180971,0.209707513,0.246663545,0.160370857,0.098930847,0.048213755,0.11990535,0.130941162,0.41486002,0.090494054,2.642326727
infected_16,0.178929006,0.217663366,0.347005389,0.279415219,0.073428176,0.069076401,0.095547592,0.187980611,0.233793081,0.269607603,0.302785132,0.130242803,0.061780281,0.077817776,0.070274897,0.273011936,2.868359269
