,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,3.97776207,0.955498905,0.330584089,0.208227997,0.230160215,0.501626289,0.992305159,1.058110393,0.657987084,0.311616681,0.276111959,0.21784514,0.155395751,0.138836636,0.078562781,0.055188662,10.14581981
infected_2,0.9077055,4.807185851,0.804707167,0.208046035,0.140820127,0.340721926,0.692296399,0.911443036,0.951525983,0.37167777,0.205720031,0.161567116,0.138823063,0.114917775,0.052158722,0.05444558,10.86376208
infected_3,0.18443701,1.351960506,5.651340963,0.576582182,0.218454407,0.216771683,0.375215455,0.662012436,0.960466969,0.512499266,0.289781794,0.12580958,0.073725973,0.084184288,0.065582683,0.068382211,11.4172074
infected_4,0.100503572,0.241135482,1.741439161,6.013071606,1.117149539,0.606190595,0.545470914,0.686971641,0.865045502,0.917477127,0.512907513,0.164088922,0.055096514,0.047822475,0.02831944,0.027748927,13.67043893
infected_5,0.133365264,0.155613907,0.202913916,1.663053043,3.279716613,1.624515857,1.215806043,1.131762028,0.9192627,1.119174229,0.812189707,0.371694937,0.080539147,0.047431516,0.050540973,0.052702805,12.86028269
infected_6,0.357644316,0.24113487,0.145203116,0.721446958,1.920566199,3.587069866,2.016144005,1.597692147,1.311773076,1.079867714,1.080952155,0.585552906,0.181655235,0.077813708,0.03558985,0.037974406,14.97808053
infected_7,0.735351773,0.918814004,0.577353592,0.454769371,1.069777246,1.965874652,3.628735346,2.281291541,1.645498539,1.213363653,0.908403584,0.609955042,0.317232393,0.154755667,0.074571906,0.082208451,16.63795676
infected_8,0.878399131,1.157396732,0.810960759,0.655900059,0.77173219,1.538523206,2.1360253,3.703958292,2.348752045,1.414374422,0.945106093,0.455848335,0.319034411,0.245173404,0.130423186,0.066617152,17.57822472
infected_9,0.420902118,0.841148385,0.933272907,0.99987585,0.894883318,1.300285138,1.798284937,2.082928089,3.098550778,1.673794196,1.106109416,0.343108965,0.191434176,0.159707108,0.108999026,0.067826609,16.02111101
infected_10,0.416696248,0.529315918,0.590093305,1.410192781,0.882657566,1.021967209,1.347453834,1.533520426,1.584793765,2.194222833,1.099650442,0.415458233,0.148566615,0.108912482,0.094660953,0.118030135,13.49619274
infected_11,0.226453417,0.573148625,0.821409849,1.142207286,0.994183758,1.286765028,1.254585224,1.25035747,1.592173702,1.706363064,1.903268653,0.709012905,0.239633604,0.142671028,0.095660604,0.122123365,14.06001758
infected_12,0.432087819,0.568872436,0.491100147,0.651259128,0.602129676,1.06856296,1.180452788,0.907792917,0.964087706,0.807202952,0.961383302,1.345864876,0.438275625,0.239562931,0.110612699,0.112299385,10.88154735
infected_13,0.348919445,0.297913825,0.193891871,0.311019208,0.296450335,0.510852572,0.779452538,0.769610449,0.524182344,0.403242356,0.382625806,0.578627428,1.079648996,0.423974225,0.233443265,0.122107081,7.255961744
infected_14,0.237742049,0.344996887,0.266941042,0.157971433,0.232098796,0.39410777,0.766354329,0.743602152,0.633954249,0.371141161,0.387958015,0.511995316,0.550954489,1.134865834,0.293260892,0.169514649,7.197459064
infected_15,0.1005847,0.2760356,0.30445081,0.284941353,0.150476842,0.287403266,0.368931956,0.596447882,0.679084579,0.488118798,0.385304804,0.320788633,0.602895765,0.632439314,0.924314098,0.326374325,6.728592725
infected_16,0.233228257,0.315775735,0.465155151,0.378745875,0.163524046,0.207394141,0.41296701,0.48908007,0.563237353,0.641803959,0.627631273,0.390052192,0.282599081,0.409805178,0.353519099,0.618547696,6.553066114
