,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.795519584,0.23040898,0.108436069,0.042977839,0.055283306,0.205661029,0.498185994,0.587676709,0.274519422,0.087659131,0.108224206,0.16800108,0.222855478,0.17908857,0.080036636,0.193739709,3.838273742
infected_2,0.384709617,0.984546719,0.382895713,0.095750698,0.068722303,0.099520748,0.474716653,0.755705176,0.588104521,0.243614076,0.113684532,0.181782549,0.184123206,0.24791329,0.232142322,0.254109468,5.292041591
infected_3,0.16716401,0.341670309,1.247747928,0.278742394,0.076219517,0.043160935,0.181226657,0.517828017,0.628824314,0.360897841,0.267730895,0.134887925,0.120698986,0.214795148,0.246824089,0.41067335,5.239092315
infected_4,0.072708405,0.108147834,0.287546112,0.979032879,0.331354606,0.103243214,0.040998193,0.173926062,0.360387002,0.573826156,0.394656736,0.209961397,0.113377443,0.113365396,0.173496943,0.328390727,4.364419105
infected_5,0.077725321,0.049571896,0.065261212,0.187866246,1.051635913,0.278650786,0.070285984,0.024928226,0.086737228,0.336431048,0.424294871,0.268086253,0.127280572,0.089744377,0.04650039,0.094802042,3.279802365
infected_6,0.15733964,0.099587085,0.034087841,0.043651157,0.17748074,1.018206259,0.221446768,0.030094828,0.024228353,0.077252817,0.223409144,0.361640353,0.212783451,0.124435349,0.102412777,0.087855673,2.995912235
infected_7,0.396570302,0.297838044,0.086326768,0.021936347,0.039692735,0.20740145,1.13375186,0.176909928,0.065992709,0.020369034,0.0672131,0.255962499,0.356967066,0.301801782,0.114268942,0.128973484,3.67197605
infected_8,0.531143191,0.452305948,0.287389813,0.100958938,0.013943602,0.026054603,0.245535012,1.136182953,0.177715043,0.063099054,0.027702015,0.045358998,0.193395159,0.29669338,0.203165966,0.241023277,4.041666952
infected_9,0.348794554,0.570015341,0.542783994,0.280820941,0.095300688,0.020791549,0.083713345,0.230514917,0.900054687,0.151797201,0.084117035,0.036746993,0.075012472,0.225958889,0.23872269,0.336629517,4.221774813
infected_10,0.072239195,0.178723225,0.248055062,0.422744461,0.389062089,0.126293862,0.019154562,0.044502971,0.147387439,0.834144525,0.198272668,0.137752221,0.042500899,0.055202444,0.153729128,0.371816733,3.441581484
infected_11,0.043755769,0.053001323,0.120622203,0.261238927,0.315061097,0.332696609,0.050810428,0.019184885,0.045607142,0.169701269,0.799209011,0.199005304,0.066144395,0.051749452,0.09833525,0.434131602,3.060254666
infected_12,0.028912889,0.034410877,0.027999129,0.054310181,0.152897356,0.278031189,0.14281969,0.016010736,0.009135223,0.041066028,0.143057054,0.76666838,0.197555833,0.128942473,0.043322938,0.199906868,2.265046844
infected_13,0.032608056,0.018304694,0.009525671,0.011884686,0.030406681,0.114866405,0.167612339,0.068863768,0.022738488,0.012808042,0.019983377,0.131396227,0.707515075,0.160383409,0.134105935,0.085656042,1.728658895
infected_14,0.016174529,0.011910525,0.011201625,0.00726223,0.00516184,0.02560752,0.035244249,0.040161873,0.027525574,0.007256552,0.005746048,0.043738661,0.107948881,0.719433722,0.128131432,0.096169493,1.288674754
infected_15,0.004956852,0.005273047,0.016069591,0.005496223,0.006965439,0.004923349,0.016752584,0.015062766,0.012359852,0.008653065,0.008636944,0.00517877,0.027069019,0.078708991,0.475305157,0.090124315,0.781535964
infected_16,0.012072982,0.011653516,0.015147975,0.008881119,0.010135178,0.017729759,0.015295649,0.009757539,0.016998755,0.03531513,0.049049418,0.040755459,0.014228781,0.018334452,0.104678558,0.395968452,0.776002722
