,contact_1,contacted_2,contacted_3,contacted_4,contacted_5,contacted_6,contacted_7,contacted_8,contacted_9,contacted_10,contacted_11,contacted_12,contacted_13,contacted_14,contacted_15,contacted_16,contact_total
infected_1,1.348714286,0.55534849,0.246131236,0.143178533,0.205521729,0.39086541,0.685526599,0.728622632,0.485438982,0.223965242,0.217944889,0.178552909,0.136204622,0.125060874,0.0687216,0.042837545,5.782635579
infected_2,0.477468189,5.674053581,0.88668993,0.224735319,0.14725012,0.330104826,0.616093578,0.803985041,0.879677082,0.367013002,0.207265614,0.159854384,0.140433512,0.116049864,0.050364061,0.046297242,11.12733534
infected_3,0.183433525,1.740928289,9.108455562,0.806627149,0.291119465,0.24986688,0.430255018,0.675300437,1.112352316,0.63641073,0.343450264,0.146912699,0.087444397,0.097312509,0.071350249,0.066875824,16.04809531
infected_4,0.090491244,0.291081835,3.1133008,11.68334234,1.498261428,0.76641372,0.641667385,0.793718272,1.091807379,1.201918916,0.671688147,0.24372849,0.079595187,0.061264063,0.034748903,0.0299968,22.2930249
infected_5,0.13156619,0.172440246,0.308207893,2.350081773,3.950229955,1.774337392,1.226877631,1.151562392,1.013926257,1.324356393,0.981209225,0.486143445,0.116272737,0.059051749,0.0604258,0.055620421,15.1623095
infected_6,0.354005139,0.244375483,0.237393644,0.894400744,2.066976472,3.656729243,1.91082356,1.520448125,1.357663532,1.17116183,1.207951871,0.679586134,0.208989508,0.082118241,0.03723928,0.035194396,15.6650572
infected_7,0.59452359,0.803390389,0.635339037,0.51691508,1.06125079,1.822778752,3.127985791,1.979079017,1.576121421,1.259777748,0.963689151,0.666759748,0.293339739,0.137368189,0.063865966,0.063406562,15.56559097
infected_8,0.613145533,0.954249649,0.767707244,0.736719591,0.773583236,1.446830115,1.811238185,3.142886397,2.22227452,1.459881923,1.056739214,0.526202324,0.287121389,0.208908916,0.107910285,0.048720979,16.1641195
infected_9,0.350931117,0.800221853,1.033473282,1.20072379,0.967427914,1.344651189,1.725327583,1.992616037,3.19375377,1.885432195,1.335929958,0.474096161,0.223868204,0.163244573,0.107495572,0.059124137,16.85831734
infected_10,0.185743597,0.57979512,0.788673983,1.864471984,1.004747038,1.118717555,1.393630273,1.588575859,1.786477655,2.569677607,1.369376238,0.600919225,0.195311826,0.127861854,0.105952595,0.115266826,15.39519924
infected_11,0.173129886,0.638941741,1.107568311,1.531782244,1.152448249,1.4752298,1.375749542,1.379603071,1.911833713,2.147200399,2.368279607,0.995046048,0.303090661,0.164322436,0.104764027,0.118334951,16.94732469
infected_12,0.29772605,0.659118991,0.794503963,0.944925165,0.748913788,1.269688541,1.354109098,1.065228495,1.288934548,1.128018282,1.334806589,1.677964783,0.520016576,0.272301085,0.122657024,0.109070075,13.58798305
infected_13,0.311698067,0.332589569,0.255760043,0.444727135,0.375597902,0.608738572,0.817103497,0.787694273,0.634817957,0.557754779,0.510614427,0.706853894,1.230959386,0.491037244,0.262666309,0.121496037,8.45010909
infected_14,0.233655495,0.354508858,0.281601291,0.171389196,0.268462986,0.424878291,0.729252789,0.67838519,0.648674782,0.430457136,0.441490716,0.57597689,0.634459258,1.292994709,0.332577049,0.170003898,7.668768535
infected_15,0.099936917,0.272655271,0.310065982,0.314697108,0.170300691,0.291367274,0.333954567,0.529004319,0.662300782,0.522493527,0.408477343,0.35001789,0.668068962,0.719745112,0.995124011,0.321677948,6.969887704
infected_16,0.202949021,0.270950724,0.399098474,0.329050802,0.1475772,0.183417504,0.326975389,0.383645985,0.477616397,0.568558891,0.561531897,0.35406229,0.272120534,0.402343688,0.333390683,0.559846127,5.773135605
