,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.657110811,0.227098807,0.116549129,0.049143589,0.066541701,0.239800834,0.461048129,0.477428355,0.255414779,0.091396803,0.111974014,0.175048793,0.229360164,0.179677822,0.081857486,0.172598606,3.592049822
infected_2,0.331837633,0.91898464,0.403788543,0.110022393,0.07362911,0.09944052,0.414461176,0.627907417,0.557691475,0.255000012,0.115894839,0.187174083,0.191713184,0.249807516,0.229440086,0.214889742,4.981682369
infected_3,0.141355256,0.323982886,1.371857069,0.345822598,0.085829951,0.040477295,0.148023073,0.431909675,0.636029814,0.404021532,0.272915485,0.138953896,0.128091788,0.218938519,0.24472469,0.345135345,5.278068872
infected_4,0.058607925,0.100688695,0.322516641,1.187415305,0.391083203,0.096528905,0.031635273,0.142162585,0.359802638,0.637371236,0.415257729,0.216657631,0.117288448,0.112917078,0.176758865,0.275791689,4.642483846
infected_5,0.064241754,0.04287008,0.06652799,0.218978155,1.227759963,0.274566745,0.056298515,0.018883317,0.078952946,0.360829754,0.438374342,0.272716243,0.126997449,0.087125121,0.043287537,0.074246924,3.452656835
infected_6,0.146558825,0.091050449,0.032831829,0.047438756,0.203384206,1.062542954,0.190070843,0.023643986,0.021784222,0.074151375,0.227866838,0.357013345,0.21390017,0.122566378,0.092844738,0.070875278,2.978524192
infected_7,0.361929751,0.291539641,0.086418977,0.023184157,0.043889825,0.211902627,0.984221426,0.145555463,0.058747921,0.021084087,0.068152175,0.251937308,0.355307281,0.297859832,0.108546358,0.107389197,3.417666026
infected_8,0.447956969,0.44660678,0.31566872,0.121210318,0.015573889,0.026656661,0.213596298,0.946770798,0.171412593,0.066508041,0.029271746,0.046248696,0.191868387,0.285794132,0.197974348,0.201920099,3.725038475
infected_9,0.27650509,0.523947359,0.591447603,0.34029263,0.108874265,0.020110854,0.066336378,0.184126473,0.891238946,0.166138888,0.083681633,0.035109421,0.073517996,0.220102117,0.219872295,0.278720837,4.080022785
infected_10,0.057543375,0.161805826,0.271868689,0.508695896,0.459234463,0.116964765,0.016050336,0.035560055,0.146629265,0.916250316,0.207622189,0.138215745,0.042259228,0.056512855,0.145901507,0.300957076,3.582071586
infected_11,0.034856909,0.046884976,0.12140273,0.300251028,0.356757322,0.32172039,0.041414718,0.015940688,0.041152394,0.178809256,0.850858095,0.211540531,0.070309895,0.052546035,0.094399471,0.374327772,3.11317221
infected_12,0.022673961,0.028697429,0.027732781,0.061970195,0.168709621,0.258213978,0.110088863,0.012211553,0.007738554,0.041422865,0.150640088,0.822078404,0.208569994,0.131244432,0.043295005,0.168995596,2.264283319
infected_13,0.024786279,0.014846062,0.009502824,0.013625054,0.032532367,0.107090455,0.128332259,0.049442883,0.019200249,0.012648303,0.020888929,0.136563822,0.784955435,0.171298648,0.135874962,0.076427182,1.738015713
infected_14,0.012266642,0.00983567,0.01078456,0.008064616,0.005328252,0.02366516,0.026776041,0.028887639,0.024452714,0.007463172,0.005870231,0.044323987,0.11686002,0.801076766,0.145717199,0.089884474,1.361257143
infected_15,0.003957192,0.004195886,0.01520914,0.006113211,0.007236211,0.004363504,0.012689188,0.0111726,0.010396261,0.008364263,0.008384142,0.005271758,0.027914337,0.089447719,0.505757827,0.082254618,0.802727857
infected_16,0.00969936,0.009494415,0.014145899,0.009317163,0.010196663,0.016134909,0.011670735,0.007069299,0.01451129,0.033282605,0.047638278,0.039415824,0.014302177,0.019390763,0.109303706,0.374464724,0.74003781
